"name","path","command","lastruntime","nextruntime","startboundary","endboundary"
﻿"Reboot_AC","\Microsoft\Windows\UpdateOrchestrator\Reboot_AC","%systemroot%\system32\MusNotification.exe","1691609340","NULL","1691580540","NULL"
﻿"Reboot_Battery","\Microsoft\Windows\UpdateOrchestrator\Reboot_Battery","%systemroot%\system32\MusNotification.exe","1691609340","NULL","1691580540","NULL"
﻿"Report policies","\Microsoft\Windows\UpdateOrchestrator\Report policies","%systemroot%\system32\usoclient.exe","1691430689","NULL","NULL","NULL"
﻿"Schedule Maintenance Work","\Microsoft\Windows\UpdateOrchestrator\Schedule Maintenance Work","%systemroot%\system32\usoclient.exe","943920000","NULL","NULL","NULL"
﻿"Schedule Scan","\Microsoft\Windows\UpdateOrchestrator\Schedule Scan","%systemroot%\system32\usoclient.exe","1691757245","1691848762","1546315200","NULL"
﻿"Schedule Scan Static Task","\Microsoft\Windows\UpdateOrchestrator\Schedule Scan Static Task","%systemroot%\system32\usoclient.exe","1691617020","NULL","NULL","NULL"
﻿"Schedule Wake To Work","\Microsoft\Windows\UpdateOrchestrator\Schedule Wake To Work","%systemroot%\system32\usoclient.exe","943920000","NULL","NULL","NULL"
﻿"Schedule Work","\Microsoft\Windows\UpdateOrchestrator\Schedule Work","%systemroot%\system32\usoclient.exe","1691432040","NULL","1691572260","NULL"
﻿"UpdateModelTask","\Microsoft\Windows\UpdateOrchestrator\UpdateModelTask","%systemroot%\system32\usoclient.exe","1688131846","NULL","NULL","NULL"
﻿"USO_UxBroker","\Microsoft\Windows\UpdateOrchestrator\USO_UxBroker","%systemroot%\system32\MusNotification.exe","1691756424","1691881922","946666800","NULL"
﻿"UPnPHostConfig","\Microsoft\Windows\UPnP\UPnPHostConfig","sc.exe","943920000","NULL","NULL","NULL"
﻿"Usb-Notifications","\Microsoft\Windows\USB\Usb-Notifications"," ","943920000","NULL","NULL","NULL"
﻿"HiveUploadTask","\Microsoft\Windows\User Profile Service\HiveUploadTask"," ","943920000","1691800122","1188230400","NULL"
﻿"PerformRemediation","\Microsoft\Windows\WaaSMedic\PerformRemediation"," ","1691428064","1691909193","971550000","NULL"
﻿"WiFiTask","\Microsoft\Windows\WCM\WiFiTask","%SystemRoot%\System32\WiFiTask.exe","943920000","NULL","NULL","NULL"
﻿"ResolutionHost","\Microsoft\Windows\WDI\ResolutionHost"," ","1691428892","NULL","NULL","NULL"
